point of view,subject,object,possessiveD,possessiveP,reflexive,demonstrative close,demonstrative far,have
1st,we,us,our,ours,ourselves,,,we've
2nd,you,you,your,yours,yourselves,,,you've
3rdMale,they,them,their,theirs,themselves,,,they've
3rdFemale,they,them,their,theirs,themselves,,,they've
3rdNeuter,they,them,their,theirs,themselves,these,those,they've
