point of view,subject,object,possessiveD,possessiveP,reflexive,demonstrative close,demonstrative far,have
1st,I,me,my,mine,myself,,,i've
2nd,you,you,your,yours,yourself,,,you've
3rdMale,he,him,his,his,himself,,,he's
3rdFemale,she,her,her,hers,herself,,,she's
3rdNeuter,it,it,its,its,itself,this,that,it's
