singular,plural,countable,proper
bravery,braveries,0,0
curiosity,curiosities,0,0
deceit,deceits,0,0
dedication,dedications,0,0
dream,dreams,0,0
energy,energies,0,0
failure,failures,0,0
faith,faiths,0,0
freedom,freedoms,0,0
love,love,0,0
power,powers,0,0
question,questions,1,0
relaxation,,0,0
trust,,0,0
valor,,0,0
Christianity,,0,1
hate,,,
anger,,,
peace,,,
pride,,,
sympathy,,,
loyalty,,,
honesty,,,
integrity,,,
concept,,,
