infinitive,present,present participle,past
kick,kicks,kicking,kicked
eat,eats,eating,ate
stab,stabs,stabbing,stabbed
invent,invents,inventing,invented
photograph,photographs,photographing,photographed
kiss,kisses,kissing,kissed
tickle,tickles,tickling,tickled
destroy,destroys,destroying,destroyed
create,creates,creating,created
